school_name,address,city,county,zip_code,school_nurse,school_type,enrolled,num_immune_mmr,num_exempt_mmr,num_compliance_mmr,num_pbe,num_medical_exempt,num_pbe_exempt_all
ANZA TRAIL ELEMENTARY,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,PIMA,85629,NO,PUBLIC,199,195,4,199,4,0,4
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,PUBLIC,80,75,5,80,7,0,4
ARCADIA NEIGHBORHOOD LEARNING CENTER,4330 NORTH 62ND STREET,SCOTTSDALE,MARICOPA,85251,YES,PUBLIC,52,49,3,52,8,0,2
ARCHWAY CLASSICAL ACADEMY - NORTH PHOENIX,"13613 N CAVE CREEK RD, BUILDING C",PHOENIX,MARICOPA,85018,NO,CHARTER,117,109,8,117,16,1,4
ARIZONA CHARTER ACADEMY,16011 N DYSART RD,SURPRISE,MARICOPA,85374,NO,CHARTER,95,93,2,95,3,0,1
ARIZONA CONNECTIONS ACADEMY,335 E GERMANN RD,GILBERT,MARICOPA,85297,NO,CHARTER,201,172,28,200,36,2,28
ARIZONA CULTURAL ACADEMY,7810 S 42ND PL,PHOENIX,MARICOPA,85042,YES,PRIVATE,22,21,1,22,1,1,1
ARIZONA DESERT ELEMENTARY SCHOOL,1245 N MAIN ST,SAN LUIS,YUMA,85349,NO,PUBLIC,129,129,0,129,0,0,0
ARIZONA DESERT ELEMENTARY SCHOOL,8803 W VAN BUREN ST,TOLLESON,MARICOPA,85353,NO,PUBLIC,68,67,1,68,1,0,1
ARIZONA SCHOOL FOR THE ARTS,1410 N 3RD ST,PHOENIX,MARICOPA,85004,NO,CHARTER,112,112,0,112,0,0,0
ARLINGTON ELEMENTARY SCHOOL,9410 S 355TH AVE,ARLINGTON,MARICOPA,85322,NO,PUBLIC,29,29,0,29,0,0,0
ARROWHEAD ELEMENTARY SCHOOL,7490 W UNION HILLS DR,GLENDALE,MARICOPA,85308,YES,PUBLIC,84,80,4,84,6,0,3
ARROYO SCHOOL,4535 W CHOLLA ST,GLENDALE,MARICOPA,85304,NO,PUBLIC,89,88,1,89,2,1,0
ARTS ACADEMY AT ESTRELLA MOUNTAIN,2504 S 91ST AVE,PHOENIX,MARICOPA,85353,NO,CHARTER,117,117,0,117,9,0,0
ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,735 E FILLMORE ST,PHOENIX,MARICOPA,85006,YES,PUBLIC,91,89,2,91,4,0,2
ATHOS TRADITIONAL ACADEMY,3201 S GILBERT RD,CHANDLER,MARICOPA,85286,YES,CHARTER,111,99,12,111,13,1,10
AUDREY & ROBERT RYAN ELEMENTARY,4600 S BRIGHT ANGEL WAY,CHANDLER,MARICOPA,85249,NO,PUBLIC,130,127,3,130,3,0,0
AUGUSTA RANCH ELEMENTARY,9430 E NEVILLE AVE,MESA,MARICOPA,85209,YES,PUBLIC,172,166,6,172,13,1,2
AVALON ELEMENTARY,1045 S SAN MARCOS DR,APACHE JUNCTION,PINAL,85220,NO,CHARTER,36,36,0,36,2,0,0
AVONDALE MIDDLE SCHOOL,1406 N CENTRAL AVE,AVONDALE,MARICOPA,85323,YES,PUBLIC,131,131,0,131,0,0,0
B.U.S.D. #20 - BAGDAD SPECIAL NEEDS PRESCHOOL,6 SOUTH LINDAHL,BAGDAD,YAVAPAI,86321,NO,PUBLIC,31,30,1,31,1,0,0
BALES ELEMENTARY SCHOOL,25400 W MARICOPA RD,BUCKEYE,MARICOPA,85326,NO,PUBLIC,97,93,3,97,7,0,0
BALSZ SCHOOL,4309 E BELLEVIEW ST,PHOENIX,MARICOPA,85008,YES,PUBLIC,76,75,1,76,0,0,1
BARBARA BUSH ELEMENTARY SCHOOL,4925 E INGRAM ST,MESA,MARICOPA,85205,YES,PUBLIC,81,80,1,81,4,0,1
BARCELONA MIDDLE SCHOOL,6530 N 44TH AVE,GLENDALE,MARICOPA,85301,YES,PUBLIC,135,135,0,135,2,2,0
BASHA ELEMENTARY,3535 S BASHA RD,CHANDLER,MARICOPA,85248,NO,PUBLIC,121,114,7,121,11,0,4
BASHA HIGH SCHOOL,5990 S VAL VISTA,CHANDLER,MARICOPA,85249,YES,PUBLIC,72,71,1,72,1,0,1
BASIS - AHWATUKEE,10210 S 50TH PL,PHOENIX,MARICOPA,85044,NO,CHARTER,133,122,11,133,11,0,11
BASIS - CHANDLER,4825 S. ARIZONA AVE,CHANDLER,MARICOPA,85248,NO,CHARTER,175,171,4,175,12,0,2
BASIS - FLAGSTAFF,1700 N GEMINI DR,FLAGSTAFF,COCONINO,86001,NO,CHARTER,95,88,7,95,15,0,6
BASIS - MESA,5010 S EASTMARK PKWY,MESA,MARICOPA,85212,NO,CHARTER,104,104,0,104,15,0,0
BASIS - ORO VALLEY,11155 N ORACLE RD,ORO VALLEY,PIMA,   NA,NO,CHARTER,124,121,3,124,7,4,3
BASIS - PEORIA,9902 W YEARLING ROAD,PEORIA,MARICOPA,   NA,NO,CHARTER,162,153,9,162,36,1,5
BASIS - PHOENIX,11850 N 32ND ST,PHOENIX,MARICOPA,85028,NO,CHARTER,122,117,5,122,16,0,3
BASIS - SCOTTSDALE,10400 N. 128TH ST,SCOTTSDALE,MARICOPA,85259,NO,CHARTER,186,185,1,186,9,1,1
BASIS - TUCSON NORTH,5740 E RIVER RD,TUCSON,PIMA,85750,NO,CHARTER,154,154,0,154,1,1,0
BASIS GOODYEAR,15800 W SHERMAN ST,GOODYEAR,MARICOPA,85338,NO,CHARTER,90,86,4,90,7,0,4
BASIS PHOENIX CENTRAL PRIMARY,201 E INDIANOLA AVE,PHOENIX,MARICOPA,85012,NO,CHARTER,58,57,1,58,3,0,1
BASIS PRESCOTT,1901 PRESCOTT LAKES PKWY,PRESCOTT,YAVAPAI,86301,YES,PUBLIC,91,78,13,91,33,33,7
BEAVER CREEK SCHOOL,4810 E BEAVER CREEK RD,RIMROCK,YAVAPAI,86335,NO,PUBLIC,34,33,1,34,2,0,0
BELLA VISTA ELEMENTARY SCHOOL,801 N LENZNER AVE,SIERRA VISTA,COCHISE,85635,YES,PUBLIC,59,59,0,59,0,1,0
BELLAIR ELEMENTARY SCHOOL,4701 W GROVERS AVE,GLENDALE,MARICOPA,85308,YES,PUBLIC,70,67,3,70,7,0,4
BENCHMARK SCHOOL,4120 E ACOMA DR,PHOENIX,MARICOPA,85032,NO,CHARTER,55,47,0,47,0,0,0
BENJAMIN FRANKLIN CHARTER SCHOOL - CRIMSON,22120 E. QUEEN CREEK RD,QUEEN CREEK,MARICOPA,85142,YES,CHARTER,77,71,6,77,27,0,3
BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT,320 E WARNER RD,GILBERT,MARICOPA,85296,YES,CHARTER,78,72,6,78,22,0,3
BENJAMIN FRANKLIN CHARTER SCHOOL - POWER RD,22951 S POWER RD,GILBERT,MARICOPA,85298,YES,CHARTER,98,79,19,98,29,0,15
BENNETT ACADEMY,2930 W BETHANY HOME RD,PHOENIX,MARICOPA,85017,NO,CHARTER,46,45,1,46,3,0,1
BENSON PRIMARY SCHOOL,360 S PATAGONIA ST,BENSON,COCHISE,85602,NO,PUBLIC,109,103,5,109,5,0,5
BERNARD BLACK ELEMENTARY,6550 S 27TH AVE,PHOENIX,MARICOPA,85041,YES,PUBLIC,87,83,3,87,3,0,3
BICENTENNIAL NORTH SCHOOL,7237 W MISSOURI AVE,GLENDALE,MARICOPA,85303,YES,PUBLIC,174,173,1,174,2,0,1
BIG PARK COMMUNITY SCHOOL,25 W SADDLEHORN CT,SEDONA,YAVAPAI,86351,NO,PUBLIC,34,27,5,32,6,0,5
BILTMORE PREPARATORY ACADEMY,4601 N 34TH ST,PHOENIX,MARICOPA,85018,NO,PUBLIC,55,53,2,55,2,0,7
BISBEE MIDDLE SCHOOL,519 MELODY LN,BISBEE,COCHISE,   NA,NO,CHARTER,40,38,2,40,4,2,2
BLACK MOUNTAIN ELEMENTARY SCHOOL,3404 N SANTA MARIA RD,GOLDEN VALLEY,MOHAVE,86413,YES,PUBLIC,63,60,3,63,5,0,0
BLACK MOUNTAIN ELEMENTARY SCHOOL,33016 N 60TH ST,CAVE CREEK,MARICOPA,85327,YES,PUBLIC,75,74,1,75,13,0,0
BLUE RIDGE ELEMENTARY SCHOOL,1200 W WHITE MOUNTAIN BLVD,LAKESIDE,NAVAJO,85929,NO,PUBLIC,169,166,3,169,3,0,3
BOOTH-FICKETT MATH/SCIENCE MAGNET SCHOOL,450 S MONTEGO DR,TUCSON,PIMA,85710,YES,PUBLIC,161,160,0,160,1,1,0
BORMAN ELEMENTARY SCHOOL,6630 LIGHTNING DR (DMAFB),TUCSON,PIMA,85708,YES,PUBLIC,40,40,0,40,0,0,0
