school_name,address,city,county,zip_code,school_nurse,school_type,enrolled,num_immune_mmr,num_exempt_mmr,num_compliance_mmr,num_pbe,num_medical_exempt,num_pbe_exempt_all
CONTINENTAL ELEMENTARY SCHOOL,1991 E WHITE HOUSE CANYON RD,GREEN VALLEY,PIMA,85614,YES,PUBLIC,70,69,1,70,2,0,0
COPPER BASIN K-8,28682 N MAIN ST,QUEEN CREEK,PINAL,85143,YES,PUBLIC,76,72,4,76,6,0,4
COPPER CANYON ELEMENTARY SCHOOL,17650 N 54TH ST,SCOTTSDALE,MARICOPA,85254,YES,PUBLIC,85,84,1,85,5,0,0
COPPER CREEK ELEMENTARY,7071 W HILLCREST BLVD,GLENDALE,MARICOPA,85310,YES,PUBLIC,120,115,5,120,11,0,4
COPPER KING ELEMENTARY,10730 W CAMPBELL AVE,PHOENIX,MARICOPA,85037,NO,PUBLIC,93,92,1,93,3,0,1
COPPER RIDGE ELEMENTARY SCHOOL,10101 E THOMPSON PEAK PKWY,SCOTTSDALE,MARICOPA,85255,YES,PUBLIC,114,110,4,114,7,2,2
COPPER RIM ELEMENTARY SCHOOL,1600 MESQUITE,GLOBE,GILA,85501,YES,PUBLIC,105,102,3,105,4,0,3
COPPER TRAILS ELEMENTARY,16875 WEST CANYON TRAILS BLVD,GOODYEAR,MARICOPA,85338,YES,PUBLIC,137,136,1,137,11,1,0
COPPERWOOD SCHOOL,11232 N 65TH AVE,GLENDALE,MARICOPA,85304,YES,PUBLIC,98,98,0,98,0,0,0
CORDOVA ELEMENTARY SCHOOL,5631 N 35TH AVE,PHOENIX,MARICOPA,85017,NO,PUBLIC,104,104,0,104,2,0,0
CORONA FOOTHILLS MIDDLE SCHOOL,16705 S HOUGHTON RD,VAIL,PIMA,85641,NO,PUBLIC,185,179,6,185,10,1,5
CORONADO ELEMENTARY SCHOOL,4333 S DE ANZA BLVD,GILBERT,MARICOPA,85297,YES,PUBLIC,110,107,3,110,5,0,5
CORONADO ELEMENTARY SCHOOL,5148 CORONADO SCHOOL DR,SIERRA VISTA,COCHISE,85650,YES,PUBLIC,54,53,1,54,1,0,1
COTTON BOLL SCHOOL,8540 W BUTLER DR,PEORIA,MARICOPA,85345,YES,PUBLIC,107,106,1,107,9,0,1
COTTONWOOD MIDDLE SCHOOL,500 E MINGUS AVE,COTTONWOOD,YAVAPAI,86326,NO,PUBLIC,131,126,4,131,17,0,2
COUNTRY GARDENS CHARTER SCHOOL,6313 W SOUTHERN AVE,LAVEEN,MARICOPA,85339,NO,CHARTER,38,37,1,38,1,0,1
COUNTRY MEADOWS ELEMENTARY SCHOOL,8409 N 111 TH AVE,PEORIA,MARICOPA,85345,YES,PUBLIC,145,142,2,144,2,0,2
COUNTRY PLACE ELEMENTARY,10207 W COUNTRY PLACE BLVD,TOLLESON,MARICOPA,85353,YES,PUBLIC,115,115,0,115,1,0,1
COUNTRYSIDE ELEMENTARY,15034 N PARKVIEW PL,SURPRISE,MARICOPA,85379,YES,PUBLIC,64,64,0,64,0,0,0
COYOTE HILLS ELEMENTARY SCHOOL,21180 N 87TH AVE,PEORIA,MARICOPA,85382,YES,PUBLIC,105,103,2,105,3,1,2
COYOTE RIDGE,7677 W BETHANY HOME RD,GLENDALE,MARICOPA,85303,YES,PUBLIC,92,92,0,92,0,0,0
COYOTE SPRINGS ELEMENTARY SCHOOL,8101 E HWY 89A,PRESCOTT VALLEY,YAVAPAI,86314,YES,PUBLIC,93,93,0,93,4,4,4
COYOTE TRAIL ELEMENTARY SCHOOL,8000 N SILVERBELL RD,TUCSON,PIMA,85743,NO,PUBLIC,82,80,2,82,4,1,1
CREIGHTON ELEMENTARY SCHOOL,2802 E MCDOWELL RD,PHOENIX,MARICOPA,85008,YES,PUBLIC,81,81,0,81,0,0,0
CRISMON ELEMENTARY SCHOOL,825 W MEDINA AVE,MESA,MARICOPA,85210,YES,PUBLIC,92,91,1,92,4,0,1
CROWN CHARTER SCHOOL,12450 W MARYLAND AVE,LITCHFIELD PARK,MARICOPA,85340,NO,CHARTER,28,28,0,28,0,0,0
CURIEL SCHOOL,1000 N CURIEL ST,ELOY,PINAL,85131,YES,PUBLIC,95,94,1,95,0,1,0
DAVID CROCKETT SCHOOL,501 N 36TH ST,PHOENIX,MARICOPA,85008,YES,PUBLIC,56,56,0,56,0,0,0
DEGRAZIA ELEMENTARY SCHOOL,5051 W OVERTON RD,TUCSON,PIMA,85742,NO,PUBLIC,86,83,1,84,2,0,0
DENNEHOTSO BOARDING SCHOOL,EAST HWY. 160,DENNEHOTSO,APACHE,86535,NO,PUBLIC,21,21,0,21,21,0,0
DESERT CANYON ELEMENTARY,10203 E MCDOWELL MOUNTAIN RANCH RD,SCOTTSDALE,MARICOPA,   NA,YES,CHARTER,177,169,8,177,17,0,17
DESERT CANYON MIDDLE SCHOOL,10203 E MCDOWELL MOUNTAIN RANCH RD,SCOTTSDALE,MARICOPA,85255,YES,PUBLIC,177,169,8,177,17,0,17
DESERT CHRISTIAN PRE-SCHOOL,9415 E WRIGHTSTOWN ROAD,TUCSON,PIMA,85715,NO,PRIVATE,37,37,0,37,2,0,0
DESERT COVE ELEMENTARY SCHOOL,11020 N 28TH ST,PHOENIX,MARICOPA,85028,NO,CHARTER,77,75,2,77,2,2,2
DESERT HEIGHTS PREPARATORY ACADEMY,16635 N 51ST AVE,GLENDALE,MARICOPA,85308,NO,CHARTER,57,52,5,57,5,0,5
DESERT HORIZON ELEMENTARY SCHOOL,8525 W OSBORN RD,PHOENIX,MARICOPA,85037,NO,PUBLIC,110,109,1,110,1,0,1
DESERT MARIGOLD SCHOOL,6210 S 28TH ST,PHOENIX,MARICOPA,85042,NO,CHARTER,28,18,10,28,17,0,7
DESERT MEADOWS ELEMENTARY SCHOOL,6855 W MEADOWS LOOP E,LAVEEN,MARICOPA,85339,NO,PUBLIC,96,93,3,96,3,0,3
DESERT MIRAGE ELEMENTARY SCHOOL,8605 W MARYLAND AVE,GLENDALE,MARICOPA,85305,NO,PUBLIC,87,86,1,87,1,0,0
DESERT MOUNTAIN SCHOOL,35959 NORTH 7TH AVENUE,PHOENIX,MARICOPA,85086,YES,PUBLIC,85,78,7,85,14,0,5
DESERT OASIS ELEMENTARY SCHOOL,17161 W BAJADA RD,SURPRISE,MARICOPA,85387,YES,PUBLIC,50,48,2,50,2,0,0
DESERT OASIS ELEMENTARY SCHOOL,8802 W MCDOWELL RD,PHOENIX,MARICOPA,85037,NO,PUBLIC,92,92,0,92,1,0,1
DESERT PALMS ELEMENTARY SCHOOL,11441 N 55TH AVE,GLENDALE,MARICOPA,85304,YES,PUBLIC,63,63,0,63,1,0,0
DESERT SAGE ELEMENTARY SCHOOL,4035 W ALAMEDA,GLENDALE,MARICOPA,85310,YES,PUBLIC,74,69,5,74,6,0,2
DESERT SANDS MIDDLE SCHOOL,6308 W CAMPBELL AVE,PHOENIX,MARICOPA,85033,YES,PUBLIC,338,334,2,338,2,2,0
DESERT SHADOWS ELEMENTARY SCHOOL,5902 E SWEETWATER AVE,SCOTTSDALE,MARICOPA,85254,NO,PUBLIC,66,60,5,66,5,0,5
DESERT SHADOWS MIDDLE SCHOOL,340 BLVD DEL REY DAVID,NOGALES,SANTA CRUZ,85621,YES,PUBLIC,243,242,1,243,2,1,1
DESERT SKY MIDDLE SCHOOL,9850 E RANKIN LOOP,TUCSON,PIMA,85747,NO,PUBLIC,247,242,5,247,6,0,6
DESERT SPIRIT,7355 W ORANGEWOOD AVE,GLENDALE,MARICOPA,85303,YES,PUBLIC,107,107,0,107,1,0,0
DESERT SPRINGS PREPARATORY ELEMENTARY SCHOOL,6010 E ACOMA DR,SCOTTSDALE,MARICOPA,85254,YES,PUBLIC,66,59,7,66,9,1,8
DESERT STAR COMMUNITY SCHOOL,1240 S RECYLER RD,CORNVILLE,YAVAPAI,   NA,NO,CHARTER,23,14,9,23,9,9,9
DESERT STAR SCHOOL,2131 S 157TH AVE,GOODYEAR,MARICOPA,85338,YES,PUBLIC,91,89,2,91,4,0,2
DESERT SUN ELEMENTARY SCHOOL,27880 N 64TH ST,SCOTTSDALE,MARICOPA,85266,NO,PUBLIC,55,52,3,55,4,0,1
DESERT THUNDER SCHOOL,16750 W GARFIELD ST,GOODYEAR,MARICOPA,85338,NO,PUBLIC,84,84,0,84,6,0,0
DESERT TRAILS ELEMENTARY SCHOOL,4315 E CASHMAN DR,PHOENIX,MARICOPA,85050,YES,PUBLIC,95,89,6,95,6,2,5
DESERT VALLEY ELEMENTARY SCHOOL,12901 N 63RD AVE,GLENDALE,MARICOPA,85304,YES,PUBLIC,77,73,4,77,4,0,3
DESERT VIEW ELEMENTARY,1508 N 10TH AVE,SAN LUIS,YUMA,85349,YES,PUBLIC,115,114,1,115,2,0,2
DESERT VISTA ELEMENTARY SCHOOL,3701 E BROADWAY AVE,APACHE JUNCTION,PINAL,85119,YES,PUBLIC,102,99,2,102,6,0,2
DESERT WILLOW ELEMENTARY SCHOOL,4322 E DESERT WILLOW PKWY,CAVE CREEK,MARICOPA,85331,NO,PUBLIC,117,111,6,117,12,1,5
DESTINY SCHOOL,22 PRICKLY PEAR DR,GLOBE,GILA,85501,NO,CHARTER,29,29,0,29,0,0,0
DIETZ K-8 SCHOOL,7575 E PALMA ST,TUCSON,PIMA,85710,YES,PUBLIC,50,50,0,50,1,0,0
DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MESA,MARICOPA,85208,YES,PUBLIC,84,84,0,84,2,0,0
DISCOVERY SCHOOL,7910 W MARYLAND AVE,GLENDALE,MARICOPA,85303,YES,PUBLIC,93,93,0,93,4,1,0
DISHCHII'BIKOH COMMUNITY SCHOOL,PO BOX 80068,CIBECUE,NAVAJO,85911,YES,PRIVATE,45,45,0,45,0,0,0
DOBSON ACADEMY A-BALL CHARTER SCHOOL,2207 N DOBSON RD,CHANDLER,MARICOPA,85224,NO,CHARTER,40,36,4,40,12,0,1
DODGE TRADITIONAL MAGNET MIDDLE SCHOOL,5831 E PIMA ST,TUCSON,PIMA,85712,YES,PUBLIC,147,145,1,146,2,0,1
DON MENSENDICK SCHOOL,5535 N. 67TH AVE,GLENDALE,MARICOPA,85301,YES,PUBLIC,182,182,0,182,1,0,0
DOOLEN MIDDLE SCHOOL,2400 N COUNTRY CLUB RD,TUCSON,PIMA,85716,YES,PUBLIC,256,253,3,256,7,4,3
DOROTHY STINSON SCHOOL,2013 S 8TH AVE,SAFFORD,GRAHAM,85546,YES,PUBLIC,77,76,1,77,3,0,0
DOS RIOS ELEMENTARY,2150 S 87TH AVE,TOLLESON,MARICOPA,85353,NO,PUBLIC,93,92,1,93,2,0,2
DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,22700 S POWER RD,QUEEN CREEK,MARICOPA,85142,NO,PUBLIC,116,110,6,116,12,0,4
DRACHMAN PRIMARY MAGNET SCHOOL,1085 S 10TH AVE,TUCSON,PIMA,85701,YES,PUBLIC,24,24,0,24,0,0,0
DREXEL ELEMENTARY SCHOOL,801 E DREXEL RD,TUCSON,PIMA,85706,YES,PUBLIC,79,79,0,79,0,0,0
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,PUBLIC,95,94,0,94,1,0,1
DYSART ELEMENTARY SCHOOL,12950 W VARNEY RD,EL MIRAGE,MARICOPA,85335,YES,PUBLIC,128,125,3,128,3,0,2
EAGLE COLLEGE PREP,2450 W SOUTH MOUNTAIN AVE,PHOENIX,MARICOPA,85041,NO,CHARTER,79,71,7,78,13,0,5
EAGLE COLLEGE PREP - MARYVALE,3950 N 53RD AVE,PHOENIX,MARICOPA,85031,NO,CHARTER,43,43,0,43,0,1,0
EAGLE RIDGE ELEMENTARY SCHOOL,19801 N 13TH ST,PHOENIX,MARICOPA,85024,YES,PUBLIC,68,68,0,68,3,0,0
EAGLERIDGE ENRICHMENT PROGRAM,737 W GUADALUPE,MESA,MARICOPA,   NA,YES,PUBLIC,73,58,15,73,29,6,11
ECHO MOUNTAIN INTERMEDIATE SCHOOL,1811 E MICHIGAN AVE,PHOENIX,MARICOPA,85022,YES,PUBLIC,145,143,2,145,11,0,2
ED & VERMA PASTOR ELEMENTARY SCHOOL,2101 W ALTA VISTA RD,PHOENIX,MARICOPA,85041,YES,PUBLIC,63,62,1,63,1,0,1
ED PASTOR ELEMENTARY 4,985 N 6TH AVE,SAN LUIS,YUMA,85349,YES,PUBLIC,73,73,0,73,0,0,0
EDISON ELEMENTARY SCHOOL,545 N HORNE,MESA,MARICOPA,85203,YES,PUBLIC,95,93,2,95,6,2,0
EDUPRIZE SCHOOL,4567 W ROBERTS RD,QUEEN CREEK,PINAL,85142,YES,CHARTER,210,206,4,210,14,0,2
EISENHOWER ELEMENTARY SCHOOL,848 N MESA DR,MESA,MARICOPA,85201,YES,PUBLIC,78,78,0,78,0,0,0
EL MIRAGE ELEMENTARY SCHOOL,12308 W THUNDERBIRD RD,EL MIRAGE,MARICOPA,85335,YES,PUBLIC,81,81,0,81,3,0,0
ELLSWORTH ELEMENTARY,38454 N CAROLINA AVE,QUEEN CREEK,PINAL,85140,NO,PUBLIC,110,103,7,110,16,0,5
ELVIRA ELEMENTARY SCHOOL,250 W ELVIRA RD,TUCSON,PIMA,85756,YES,PUBLIC,97,97,0,97,0,0,0
EMERSON ELEMENTARY SCHOOL,415 N WESTWOOD RD,MESA,MARICOPA,85201,YES,PUBLIC,134,131,3,134,8,1,3
EMPOWER COLLEGE PREP,5757 N CENTRAL AVE,PHOENIX,MARICOPA,85012,NO,CHARTER,87,80,0,80,0,0,0
ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MESA,MARICOPA,85205,YES,PUBLIC,105,101,4,105,9,3,2
ESMOND STATION SCHOOL,9400 S ATTERBURY WASH WAY,TUCSON,PIMA,85747,NO,PUBLIC,78,76,2,78,2,0,2
ESPERANZA ELEMENTARY SCHOOL,251 W MOHAWK LN,PHOENIX,MARICOPA,85027,YES,PUBLIC,69,68,1,69,6,0,5
ESPERANZA ELEMENTARY SCHOOL,2353 E BANTAM,TUCSON,PIMA,85706,YES,PUBLIC,84,84,0,84,0,0,0
ESPERERO CANYON MIDDLE SCHOOL,5801 N SABINO CANYON RD,TUCSON,PIMA,85750,YES,PUBLIC,207,204,3,207,14,0,3
ESTRELLA MIDDLE SCHOOL,3733 N 75TH AVE,PHOENIX,MARICOPA,85033,NO,PUBLIC,406,405,1,406,10,2,1
ESTRELLA MOUNTAIN ELEMENTARY SCHOOL,10301 S SAN MIGUEL,GOODYEAR,MARICOPA,85338,NO,PUBLIC,80,77,3,80,5,4,2
ESTRELLA VISTA ELEMENTARY,11905 W COCOPAH CIR,AVONDALE,MARICOPA,85323,NO,PUBLIC,109,108,1,109,2,0,1
ETHOS ACADEMY,8840 N. 43RD AVE,GLENDALE,MARICOPA,85302,NO,CHARTER,23,22,0,22,0,0,0
EXCELENCIA SCHOOL,2181 E MCDOWELL RD,PHOENIX,MARICOPA,85006,YES,PUBLIC,91,91,0,91,0,0,0
FAIRBANKS MIDDLE SCHOOL,1056 FAIRBANKS RD,MORENCI,GREENLEE,85540,NO,PUBLIC,98,98,0,98,0,0,0
FALCON HILL ELEMENTARY SCHOOL,1645 N STERLING ST,MESA,MARICOPA,85207,YES,PUBLIC,77,73,4,77,7,0,2
FEES MIDDLE SCHOOL,1600 E WATSON DR,TEMPE,MARICOPA,85283,YES,PUBLIC,303,302,1,303,7,1,2
FESTIVAL FOOTHILLS ELEMENTARY SCHOOL,26252 W DESERT VISTA BLVD,BUCKEYE,MARICOPA,85396,NO,PUBLIC,36,33,3,36,5,0,1
FIELD ELEMENTARY SCHOOL,2325 E ADOBE ST,MESA,MARICOPA,85213,YES,PUBLIC,100,100,0,100,8,0,8
FINE ARTS ACADEMY,1700 S. 103RD AVE,TOLLESON,MARICOPA,85353,YES,PUBLIC,80,74,6,80,6,6,6
FINLEY FARMS ELEMENTARY,375 S COLUMBUS DR,GILBERT,MARICOPA,85296,YES,PUBLIC,92,89,3,92,8,0,0
FIRST AVENUE ELEMENTARY SCHOOL,914 N FIRST AVE,SAN MANUEL,PINAL,85631,NO,PUBLIC,49,48,1,49,2,0,1
FIRST MESA ELEMENTARY SCHOOL,NA,POLACCA,NAVAJO,   NA,YES,PRIVATE,24,24,0,24,0,0,0
FLAGSTAFF JUNIOR ACADEMY ELEMENTARY CAMPUS,306 W CEDAR AVE,FLAGSTAFF,COCONINO,   NA,NO,PUBLIC,46,37,9,46,11,6,6
FLORENCE K-8,460 S PARK ST,FLORENCE,PINAL,85232,YES,PUBLIC,86,83,3,86,7,0,6
FOOTHILLS ACADEMY COLLEGE PREPARATORY,7191 E ASHLER HILLS DR,SCOTTSDALE,MARICOPA,85266,NO,CHARTER,21,18,3,21,5,0,3
FOOTHILLS ELEMENTARY SCHOOL,15808 N 63RD AVE,GLENDALE,MARICOPA,85306,YES,PUBLIC,84,80,4,84,5,5,4
FORT THOMAS ELEMENTARY SCHOOL,15560 W ELEMENTARY RD,FORT THOMAS,GRAHAM,85536,YES,PUBLIC,40,40,0,40,0,0,0
FOUNTAIN HILLS MIDDLE SCHOOL,15414 N MCDOWELL MOUNTAIN RD,FOUNTAIN HILLS,MARICOPA,85268,NO,PUBLIC,112,108,4,112,9,0,3
FOUR PEAKS ELEMENTARY SCHOOL,1755 N IDAHO RD,APACHE JUNCTION,PINAL,85219,YES,PUBLIC,113,110,3,113,5,0,2
FOURTH AVENUE JUNIOR HIGH SCHOOL,450 4TH AVE,YUMA,YUMA,85364,NO,PUBLIC,113,110,2,113,2,0,2
FOX CREEK JR HIGH SCHOOL,3101 DESERT SKY BLVD,BULLHEAD CITY,MOHAVE,86442,YES,PUBLIC,167,161,6,167,7,0,7
FRANK BORMAN MIDDLE SCHOOL,3637 N 55TH AVE,PHOENIX,MARICOPA,85031,NO,PUBLIC,143,143,0,143,0,0,0
FRANKLIN AT ALMA ELEMENTARY,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,PUBLIC,31,31,0,31,3,0,0
FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,4949 E SOUTHERN RD,MESA,MARICOPA,   NA,YES,PUBLIC,113,113,0,113,17,0,6
FRANKLIN ELEMENTARY SCHOOL,1753 E 8TH AVE,MESA,MARICOPA,85204,NO,PUBLIC,97,93,4,97,8,0,3
FRANKLIN PHONETIC PRIMARY SCHOOL,6116 E HIGHWAY 69,PRESCOTT VALLEY,YAVAPAI,86314,NO,CHARTER,49,37,4,46,0,0,3
FRANKLIN WEST ELEMENTARY,236 S SIRRINE,MESA,MARICOPA,85210,YES,PUBLIC,73,67,6,73,12,1,5
FREEDOM ACADEMY,3916 EAST PARADISE LANE,PHOENIX,MARICOPA,85032,NO,CHARTER,44,39,5,44,8,0,5
FREEDOM ELEMENTARY SCHOOL,22150 W. SUNDANCE PKWY S,BUCKEYE,MARICOPA,85326,YES,PUBLIC,78,76,0,76,2,2,0
FRIENDLY HOUSE ACADEMIA DEL PUEBLO ELEMENTARY SCHOOL,201 E DURANGO ST,PHOENIX,MARICOPA,85004,NO,CHARTER,45,45,0,45,0,0,0
FRONTIER ELEMENTARY SCHOOL,21258 N 81ST AVE,PEORIA,MARICOPA,85382,YES,PUBLIC,112,108,4,112,15,1,1
FRYE ELEMENTARY SCHOOL,801 E FRYE RD,CHANDLER,MARICOPA,85225,NO,PUBLIC,76,75,1,76,1,1,1
G.P.S. - GREENFIELD ELEMENTARY,2550 EAST ELLIOT ROAD,GILBERT,MARICOPA,85234,YES,PUBLIC,151,147,4,151,8,0,1
G.P.S. - HIGHLAND PARK ELEMENTARY,230 NORTH COLE DRIVE,GILBERT,MARICOPA,85234,YES,PUBLIC,121,116,4,120,8,0,0
G.P.S. - OAK TREE ELEMENTARY,505 WEST HOUSTON AVENUE,GILBERT,MARICOPA,85296,YES,PUBLIC,77,73,4,77,3,0,0
G.P.S. - QUARTZ HILL ELEMENTARY,3680 SOUTH QUARTZ HILL,GILBERT,MARICOPA,85296,YES,PUBLIC,113,105,8,113,13,0,8
G.P.S. - TOWNE MEADOWS ELEMENTARY,1101 NORTH RECKER ROAD,HIGLEY,MARICOPA,85236,YES,PUBLIC,139,137,2,139,10,10,2
GADSDEN ELEMENTARY SCHOOL,18745 GADSDEN ST,GADSDEN,YUMA,85349,NO,PUBLIC,86,86,0,86,0,0,0
GALVESTON ELEMENTARY SCHOOL,661 E GALVESTON ST,CHANDLER,MARICOPA,85225,NO,PUBLIC,80,80,0,80,1,0,0
GANADO MIDDLE SCHOOL,HWY 264,GANADO,APACHE,86505,NO,PUBLIC,108,108,0,108,0,0,0
GARDEN LAKES ELEMENTARY SCHOOL,10825 W GARDEN LAKES PKWY,AVONDALE,MARICOPA,85392,YES,PUBLIC,106,102,4,106,7,2,4
GARY A KNOX ELEMENTARY,2926 S 21ST DR,YUMA,YUMA,85364,NO,PUBLIC,87,87,0,87,1,0,1
GATEWAY POINTE ELEMENTARY,2069 S DELATORRE DR,HIGLEY,MARICOPA,85236,NO,PUBLIC,129,125,4,129,8,3,8
GATEWAY POLYTECHNIC ACADEMY,5149 S SIGNAL BUTTE RD,MESA,MARICOPA,85212,NO,PUBLIC,91,90,1,91,4,0,1
GATEWAY SCHOOL,1100 N 35TH ST,PHOENIX,MARICOPA,85008,YES,PUBLIC,75,75,0,75,0,0,0
GAVILAN PEAK ELEMENTARY,2701 W MEMORIAL DR,ANTHEM,MARICOPA,85086,YES,PUBLIC,79,74,3,77,4,2,2
GEORGE WASHINGTON CARVER ELEMENTARY SCHOOL,1341 5TH ST,YUMA,YUMA,85364,YES,PUBLIC,69,69,0,69,0,0,0
GILA CROSSING COMMUNITY SCHOOL,4408 W PECOS RD,LAVEEN,MARICOPA,85339,YES,PUBLIC,59,59,0,59,0,0,0
GILA VISTA JR HIGH SCHOOL,2245 ARIZONA AVE,YUMA,YUMA,85364,NO,PUBLIC,155,154,1,155,2,0,1
GILBERT CHRISTIAN ELEMENTARY & MIDDLE SCHOOL,1424 S PROMENADE LN,GILBERT,MARICOPA,85296,NO,PRIVATE,60,53,7,60,10,0,5
GILBERT ELEMENTARY SCHOOL,175 W ELLIOT RD,GILBERT,MARICOPA,85233,YES,PUBLIC,73,70,3,73,6,0,2
GILILLAND MIDDLE SCHOOL,1025 S BECK AVE,TEMPE,MARICOPA,85281,YES,PUBLIC,322,321,1,322,7,0,1
GLADDEN FARMS ELEMENTARY SCHOOL,11745 W GLADDEN FARMS DR.,MARANA,PIMA,85653,YES,PUBLIC,88,86,2,88,1,0,1
GLENDALE AMERICAN SCHOOL,8530 N 55TH AVE,GLENDALE,MARICOPA,85302,NO,PUBLIC,70,68,0,68,4,0,0
GLENDALE LANDMARK MIDDLE SCHOOL,5730 W MYRTLE AVE,GLENDALE,MARICOPA,85301,YES,PUBLIC,91,91,0,91,0,0,0
GLENDALE PREPARATORY ACADEMY,23276 N. 83RD AVE,PEORIA,MARICOPA,85383,YES,CHARTER,101,97,4,101,11,1,3
GLENN F BURTON SCHOOL,4801 W MARYLAND AVE,GLENDALE,MARICOPA,85301,YES,PUBLIC,90,89,0,89,0,0,0
GLENN L DOWNS SCHOOL,3611 N 47TH AVE,PHOENIX,MARICOPA,85031,YES,PUBLIC,90,89,1,90,1,0,1
GOWAN SCIENCE ACADEMY,1590 S AVENUE C,YUMA,YUMA,85364,NO,PUBLIC,60,60,0,60,0,0,0
GRANADA EAST SCHOOL,3022 W CAMPBELL AVE,PHOENIX,MARICOPA,85017,YES,PUBLIC,241,240,1,241,1,1,1
GRAND CANYON ELEMENTARY,1 BOULDER ST,GRAND CANYON,COCONINO,86023,NO,PUBLIC,24,23,0,23,0,0,0
GRANDE INNOVATION ACADEMY,950 N. PEART RD,CASA GRANDE,PINAL,85122,NO,CHARTER,52,49,2,51,2,0,2
GRANITE MOUNTAIN MIDDLE SCHOOL,1800 WILLIAMSON VALLEY RD,PRESCOTT,YAVAPAI,   NA,YES,PUBLIC,289,277,12,289,24,0,9
GRANVILLE ELEMENTARY,5350 STOVER DR,PRESCOTT VALLEY,YAVAPAI,86314,NO,PUBLIC,89,86,3,89,3,2,2
GRAYHAWK ELEMENTARY SCHOOL,7525 E GRAYHAWK DR,SCOTTSDALE,MARICOPA,85255,YES,PUBLIC,90,88,2,90,3,1,0
GREAT EXPECTATIONS ACADEMY,1466 W CAMINO ANTIGUA,SAHUARITA,PIMA,85629,NO,CHARTER,37,34,3,37,4,0,3
GREAT HEART ACADEMIES - CENTRAL SCOTTSDALE PREPARATORY,7205 N PIMA RD,SCOTTSDALE,MARICOPA,85258,YES,CHARTER,139,131,8,139,12,3,7
GREAT HEART ACADEMIES ARCHWAY LINCOLN,2250 S GILBERT RD,CHANDLER,MARICOPA,   NA,NO,CHARTER,116,109,7,116,13,1,4
GREAT HEARTS ACADEMIES - ARETE PREPARATORY ACADEMY,4525 E BASELINE RD,MESA,MARICOPA,85234,YES,CHARTER,99,90,9,99,17,0,4
GREAT HEARTS ACADEMY - CICERO PREPARATORY ACADEMY,7205 N PIMA RD,SCOTTSDALE,MARICOPA,85250,YES,CHARTER,101,97,4,101,6,0,3
GREENBRIER ELEMENTARY SCHOOL,6150 W GREENBRIER DR,GLENDALE,MARICOPA,85308,YES,PUBLIC,48,46,2,48,6,0,6
GRIFFITH ELEMENTARY SCHOOL,4505 E PALM LN,PHOENIX,MARICOPA,85008,NO,PUBLIC,59,58,1,59,2,2,2
H L SUVERKRUP ELEMENTARY SCHOOL,1590 S AVENUE C,YUMA,YUMA,85364,NO,PUBLIC,60,60,0,60,0,0,0
H.U.S.D. - CHAPARRAL ELEMENTARY,3380 EAST FRYE ROAD,GILBERT,MARICOPA,85295,NO,PUBLIC,135,131,4,135,10,0,2
H.U.S.D. - CORTINA ELEMENTARY SCHOOL,19680 SOUTH 188TH STREET,QUEEN CREEK,MARICOPA,85142,NO,PUBLIC,146,141,5,146,10,0,3
H.U.S.D. - HIGLEY TRADITIONAL ACADEMY,3391 EAST VEST AVENUE,GILBERT,MARICOPA,85295,NO,PUBLIC,88,86,2,88,3,3,1
H.U.S.D. - SAN TAN ELEMENTARY SCHOOL,3443 EAST GALISTOGA DRIVE,GILBERT,MARICOPA,85297,NO,PUBLIC,116,115,1,116,2,0,1
HALE ELEMENTARY SCHOOL,1425 N 23RD ST,MESA,MARICOPA,85213,YES,PUBLIC,82,80,2,82,2,0,1
HALEY ELEMENTARY,3401 S LAYTON LAKES,CHANDLER,MARICOPA,85286,NO,PUBLIC,125,119,6,125,11,0,2
HAPPY VALLEY SCHOOL,7140 W HAPPY VALLEY RD,PEORIA,MARICOPA,   NA,YES,CHARTER,50,47,3,50,3,2,1
HAPPY VALLEY SCHOOL - EAST CAMPUS,"22721 S ELLSWORTH RD, STE 103",QUEEN CREEK,PINAL,85140,NO,CHARTER,45,42,3,45,4,0,2
HAROLD W SMITH SCHOOL,6534 N 63RD AVE,GLENDALE,MARICOPA,85301,YES,PUBLIC,102,102,0,102,0,0,0
HARRIS ELEMENTARY SCHOOL,1820 S HARRIS DR,MESA,MARICOPA,85204,YES,PUBLIC,64,64,0,64,3,0,0
HARTFORD SYLVIA ENCINAS ELEMENTARY SCHOOL,700 N HARTFORD ST,CHANDLER,MARICOPA,85225,NO,PUBLIC,87,87,0,87,4,1,0
HARVEST PREPARATORY ACADEMY,350 E 18TH ST,YUMA,YUMA,85364,NO,CHARTER,83,83,0,83,0,0,0
HARVEST PREPARATORY ACADEMY - GOODYEAR,14900 W VAN BUREN ST,GOODYEAR,MARICOPA,85338,NO,CHARTER,31,29,2,31,2,0,2
"HARVEST PREPARATORY ACADEMY, SAN LUIS",1044 N 10TH AVE,SAN LUIS,YUMA,85349,NO,CHARTER,69,69,0,69,0,0,0
